compared_bits,total_qubits,secure_communication,calculation_correct,detect_eve,distinguish_noise_vs_eve,eve_undetected_and_steals
1,8,0.918,0.9152,0.0782,0.0782,0.4152
2,8,0.8466,0.8738,0.1496,0.1496,0.3924
3,8,0.969,0.981,0.0272,0.0272,0.4334
4,8,0.9616,0.9884,0.0346,0.0346,0.4318
5,8,0.9562,0.9938,0.04,0.04,0.4308
6,8,0.9546,0.9954,0.0416,0.0416,0.4304
7,8,0.9538,0.9962,0.0424,0.0424,0.4302
8,8,0.9538,0.9962,0.0424,0.0424,0.4302
1,20,0.9212,0.8166,0.0788,0.0788,0.701
2,20,0.8462,0.8144,0.1538,0.1538,0.6506
3,20,0.9828,0.8366,0.0172,0.0172,0.7442
4,20,0.9696,0.8498,0.0304,0.0304,0.736
5,20,0.9496,0.8698,0.0504,0.0504,0.7238
6,20,0.9308,0.8886,0.0692,0.0692,0.7122
7,20,0.9086,0.9108,0.0914,0.0914,0.6982
8,20,0.8844,0.935,0.1156,0.1156,0.6822
9,20,0.8658,0.9536,0.1342,0.1342,0.6712
10,20,0.8482,0.9712,0.1518,0.1518,0.6594
11,20,0.836,0.9834,0.164,0.164,0.6506
12,20,0.826,0.9934,0.174,0.174,0.643
13,20,0.8214,0.998,0.1786,0.1786,0.639
14,20,0.82,0.9994,0.18,0.18,0.6378
15,20,0.8196,0.9998,0.1804,0.1804,0.6374
16,20,0.8194,1.0,0.1806,0.1806,0.6372
17,20,0.8194,1.0,0.1806,0.1806,0.6372
18,20,0.8194,1.0,0.1806,0.1806,0.6372
19,20,0.8194,1.0,0.1806,0.1806,0.6372
20,20,0.8194,1.0,0.1806,0.1806,0.6372
1,50,0.9236,0.7068,0.0764,0.0764,0.8936
2,50,0.8548,0.7032,0.1452,0.1452,0.8266
3,50,0.9878,0.7054,0.0122,0.0122,0.9544
4,50,0.9718,0.7134,0.0282,0.0282,0.9398
5,50,0.9544,0.7196,0.0456,0.0456,0.9234
6,50,0.9318,0.7294,0.0682,0.0682,0.9024
7,50,0.9072,0.7448,0.0928,0.0928,0.8792
8,50,0.8844,0.756,0.1156,0.1156,0.8578
9,50,0.857,0.7694,0.143,0.143,0.8318
10,50,0.8288,0.7788,0.1712,0.1712,0.8048
